Order	Family	Genus	Species	Red_List_status	Population_trend	IUCN.NUM	POP.NUM	Suit0k	Suit21k	Range0k	Range21k	DeltaRange	LogDR	DeltaSuit	LogDS	AdultBodyMass_g	LogBMg	GroupBMg
RODENTIA	MURIDAE	Rattus	Rattus_losea	LC	increasing	0	0	0.689145882	0.586885819	1089	1159	-0.060396894	-0.06229772	0.174241837	0.160622694	104.63	4.650430317	5
RODENTIA	MURIDAE	Rattus	Rattus_mindorensis	DD	decreasing	NA	1	0.535047969	0.959742375	4	23	-0.826086957	-1.749199855	-0.442508758	-0.584308486	156.8354333	5.05519706	5
RODENTIA	MURIDAE	Rattus	Rattus_nitidus	LC	stable	0	0	0.712141987	0.806657296	1189	1649	-0.278956944	-0.327056426	-0.1171691	-0.124621603	100.02	4.605370166	5
RODENTIA	MURIDAE	Rattus	Rattus_norvegicus	LC	stable	0	0	0.935997351	0.736545259	798	694	0.149855908	0.139636637	0.270794075	0.239641961	282.89	5.64505813	6
RODENTIA	MURIDAE	Rattus	Rattus_osgoodi	LC	stable	0	0	0.283320916	0.668329559	16	759	-0.978919631	-3.859413055	-0.576076036	-0.858201169	93	4.532599493	5
RODENTIA	MURIDAE	Rattus	Rattus_pyctoris	LC	unknown	0	NA	0.654913342	0.812991605	267	479	-0.442588727	-0.584451939	-0.194440215	-0.216217858	136	4.912654886	5
RODENTIA	MURIDAE	Rattus	Rattus_rattus	LC	stable	0	0	0.801068665	0.736794958	3309	3150	0.05047619	0.049243576	0.087234183	0.083637025	142.68	4.96060436	5
RODENTIA	MURIDAE	Rattus	Rattus_satarae	VU	decreasing	1	1	0.830677015	0.829195685	27	22	0.227272727	0.204794413	0.001786467	0.001784873	63.85388804	4.156597474	4
RODENTIA	MURIDAE	Rattus	Rattus_tanezumi	LC	increasing	0	0	0.837036806	0.876445329	2292	2537	-0.096570753	-0.101557482	-0.04496404	-0.046006285	140.84	4.947624494	5
RODENTIA	MURIDAE	Rattus	Rattus_tiomanicus	LC	increasing	0	0	0.955187559	0.752848704	570	199	1.864321608	1.052331536	0.2687643	0.238043435	119.29	4.781557503	5
RODENTIA	SCIURIDAE	Ratufa	Ratufa_affinis	NT	decreasing	0	1	0.952623146	0.658178073	491	28	16.53571429	2.864239618	0.447363845	0.369743864	1155.82	7.052565328	7
RODENTIA	SCIURIDAE	Ratufa	Ratufa_bicolor	NT	decreasing	0	1	0.647074744	0.728550036	1241	1662	-0.253309266	-0.29210419	-0.111832115	-0.118594494	1609.08	7.383417866	7
RODENTIA	SCIURIDAE	Ratufa	Ratufa_indica	LC	decreasing	0	1	0.874872494	0.453369127	402	80	4.025	1.614425454	0.929713434	0.657371512	1060	6.966024187	7
RODENTIA	SCIURIDAE	Ratufa	Ratufa_macroura	NT	decreasing	0	1	0.763143331	0.735353937	63	64	-0.015625	-0.015748357	0.037790502	0.037093936	1326.24	7.19010315	7
RODENTIA	SCIURIDAE	Rheithrosciurus	Rheithrosciurus_macrotis	VU	decreasing	1	1	0.9438331	0.509643186	250	23	9.869565217	2.385966702	0.851948826	0.616238504	1353.27	7.210279165	7
PERISSODACTYLA	RHINOCEROTIDAE	Rhinoceros	Rhinoceros_unicornis	VU	increasing	1	0	0.799972299	0.830020992	66	76	-0.131578947	-0.141078598	-0.036202329	-0.036873891	1843656	14.42726111	14
CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Rhinolophus_acuminatus	LC	unknown	0	NA	0.827255273	0.485483665	699	210	2.328571429	1.202543212	0.703981683	0.532967679	12.1	2.493205453	2
CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Rhinolophus_affinis	LC	stable	0	0	0.692910563	0.787585112	1992	2577	-0.227008149	-0.257486773	-0.120208658	-0.128070511	13.7	2.617395833	3
CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Rhinolophus_arcuatus	LC	stable	0	0	0.939178735	0.5634997	188	25	6.52	2.017566138	0.666688971	0.510839006	8.98	2.194999882	2
CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Rhinolophus_beddomei	LC	stable	0	0	0.672691497	0.606246891	211	230	-0.082608696	-0.086221175	0.109599912	0.10399951	11.14952381	2.411396789	2
CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Rhinolophus_blasii	LC	decreasing	0	1	0.855040458	0.91402253	15	24	-0.375	-0.470003629	-0.064530216	-0.066706433	10.29	2.33117255	2
CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Rhinolophus_borneensis	LC	unknown	0	NA	0.805458686	0.624984911	532	406	0.310344828	0.27029033	0.288765011	0.253684404	11.14952381	2.411396789	2
